34|AbstractMap.SimpleEntry<K,V>|class in java.util|java.base/java/util/AbstractMap.SimpleEntry.html|An Entry maintaining a key and a value.
35|AbstractMap.SimpleImmutableEntry<K,V>|class in java.util|java.base/java/util/AbstractMap.SimpleImmutableEntry.html|An unmodifiable Entry maintaining a key and a value.
36|AbstractMethodError|class in java.lang|java.base/java/lang/AbstractMethodError.html|Thrown when an application tries to call an abstract method.
37|AbstractMultiResolutionImage|class in java.awt.image|java.desktop/java/awt/image/AbstractMultiResolutionImage.html|This class provides default implementations of several Image methods for classes that want to implement the MultiResolutionImage interface.
38|AbstractNotificationHandler<T>|class in com.sun.nio.sctp|jdk.sctp/com/sun/nio/sctp/AbstractNotificationHandler.html|A skeletal handler that consumes notifications and continues.
39|AbstractOwnableSynchronizer|class in java.util.concurrent.locks|java.base/java/util/concurrent/locks/AbstractOwnableSynchronizer.html|A synchronizer that may be exclusively owned by a thread.
40|AbstractPreferences|class in java.util.prefs|java.prefs/java/util/prefs/AbstractPreferences.html|This class provides a skeletal implementation of the Preferences class, greatly easing the task of implementing it.
41|AbstractProcessor|class in javax.annotation.processing|java.compiler/javax/annotation/processing/AbstractProcessor.html|An abstract annotation processor designed to be a convenient superclass for most concrete annotation processors.
42|AbstractQueue<E>|class in java.util|java.base/java/util/AbstractQueue.html|This class provides skeletal implementations of some Queue operations.
43|AbstractQueuedLongSynchronizer|class in java.util.concurrent.locks|java.base/java/util/concurrent/locks/AbstractQueuedLongSynchronizer.html|A version of AbstractQueuedSynchronizer in which synchronization state is maintained as a long.
44|AbstractQueuedSynchronizer|class in java.util.concurrent.locks|java.base/java/util/concurrent/locks/AbstractQueuedSynchronizer.html|Provides a framework for implementing blocking locks and related synchronizers (semaphores, events, etc) that rely on first-in-first-out (FIFO) wait queues.
45|AbstractRegionPainter|class in javax.swing.plaf.nimbus|java.desktop/javax/swing/plaf/nimbus/AbstractRegionPainter.html|Convenient base class for defining Painter instances for rendering a region or component in Nimbus.
46|AbstractRegionPainter.PaintContext|class in javax.swing.plaf.nimbus|java.desktop/javax/swing/plaf/nimbus/AbstractRegionPainter.PaintContext.html|A class encapsulating state useful when painting.
47|AbstractRegionPainter.PaintContext.CacheMode|enum class in javax.swing.plaf.nimbus|java.desktop/javax/swing/plaf/nimbus/AbstractRegionPainter.PaintContext.CacheMode.html|Cache mode.
